User;GameElement;QuestionCount;CorrectCount;QuizCount;PassedQuizCount;FullyCompletedLessonCount;Time;RestartedQuizCount;Gender;achiever;player;socialiser;freeSpirit;disruptor;philanthropist;micoI; miacI; mistI; meidI; meinI; mereI; amotI; micoF; miacF; mistF; meidF; meinF; mereF; amotF; micoVar; miacVar; mistVar; meidVar; meinVar; mereVar; amotVar
elevecf04;progress;102;67;18;9;0;01:11:47;0;Female;0;4;2;12;-3;5;12;12;13;15;12;15;4;13;15;16;14;18;14;8;1;3;3;-1;6;-1;4
elevecf05;avatar;168;66;22;3;0;01:31:29;0;Female;-3;4;3;2;-2;5;9;15;6;9;11;11;10;10;11;8;8;10;8;13;1;-4;2;-1;-1;-3;3
elevecf07;score;119;95;24;17;2;01:20:20;1;Female;-1;6;4;5;-4;8;14;15;11;13;14;14;5;12;16;12;12;15;16;8;-2;1;1;-1;1;2;3
elevecf08;badges;88;64;19;11;1;01:08:36;2;Female;1;8;6;7;-4;4;14;12;9;19;12;17;6;9;13;6;15;14;13;7;-5;1;-3;-4;2;-4;1
elevecf09;timer;135;92;22;11;1;02:22:45;2;Female;9;4;1;10;6;7;16;17;17;14;15;16;4;9;13;10;14;14;12;9;-7;-4;-7;0;-1;-4;5
elevecf10;progress;139;109;26;18;2;01:14:12;6;Female;6;12;5;6;-1;3;10;14;7;10;7;14;7;11;15;12;14;13;14;8;1;1;5;4;6;0;1
elevecf11;avatar;181;137;35;18;4;02:31:29;2;Female;6;-2;5;9;-5;7;19;19;14;15;14;10;8;14;17;14;13;16;12;7;-5;-2;0;-2;2;2;-1
elevecf12;ranking;60;35;9;2;0;00:39:07;0;Female;2;6;8;7;-8;6;10;11;5;20;8;10;9;12;12;12;13;12;15;11;2;1;7;-7;4;5;2
elevecg01;score;131;86;24;13;1;01:36:43;0;Male;2;8;4;5;5;8;14;13;7;14;7;13;11;12;10;5;10;6;9;16;-2;-3;-2;-4;-1;-4;5
elevecg02;badges;126;102;22;17;3;01:41:19;6;Male;3;6;0;7;7;7;13;15;12;17;12;10;8;10;10;7;9;8;7;10;-3;-5;-5;-8;-4;-3;2
elevecg03;timer;94;50;19;5;0;01:23:30;1;Male;-3;6;7;-1;7;2;9;16;6;7;11;10;14;10;12;4;7;11;10;11;1;-4;-2;0;0;0;-3
elevecg04;progress;75;37;13;2;0;00:53:57;1;Male;2;12;8;6;-1;11;12;16;8;7;11;15;13;10;12;5;6;8;8;12;-2;-4;-3;-1;-3;-7;-1
elevecg05;avatar;164;113;32;18;3;02:41:58;0;Male;12;7;9;7;-1;8;17;16;18;19;18;16;4;16;16;20;19;19;17;19;-1;0;2;0;1;1;15
elevecg06;ranking;145;94;32;18;2;01:36:38;1;Male;6;-7;1;11;-5;5;19;20;19;20;20;11;4;15;19;18;19;19;12;8;-4;-1;-1;-1;-1;1;4
elevecg07;score;190;136;39;18;4;02:34:14;1;Male;-10;12;1;2;-11;-5;9;5;11;15;13;10;4;12;13;14;19;17;12;8;3;8;3;4;4;2;4
elevecg08;badges;128;88;23;13;2;01:35:32;0;Male;-8;6;-1;4;-5;-3;10;12;7;17;13;17;11;8;12;4;13;10;14;13;-2;0;-3;-4;-3;-3;2
elevecg09;timer;161;115;37;18;3;01:58:57;1;Male;5;2;4;4;3;5;18;17;13;16;17;18;7;15;18;17;15;16;14;12;-3;1;4;-1;-1;-4;5
elevecg10;progress;120;68;24;9;2;01:40:41;2;Male;2;10;8;8;-5;6;14;16;15;19;14;14;4;15;16;16;18;18;13;6;1;0;1;-1;4;-1;2
